index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm3,0.0,7.046999999998661,7.048541,0.0
1,task-5-1,vm3,0.007232,3.0,3.00012,0.0
2,task-8-2,vm3,0.011638,14.35899999999674,14.378109,0.0
3,task-2-3,vm2,0.012496,1.0619999999980791,1.073703,0.0
4,task-10-4,vm4,0.013179,7.0939999999973224,7.109844,0.0
5,task-3-5,vm2,0.013179,3.202999999994063,3.219598,0.0
7,task-4-7,vm4,0.013774,18.764999999999418,18.788085,0.0
8,task-7-8,vm4,0.013774,12.921999999998661,12.944486,0.0
9,task-3-9,vm1,0.014393,4.23399999999674,4.245327,0.0
10,task-9-10,vm3,0.014393,23.68699999999808,23.700441,0.0
12,task-7-12,vm4,0.015288,10.014999999999418,10.034715,0.0
13,task-9-13,vm4,0.015288,17.718999999997322,17.729059,0.0
14,task-1-14,vm4,0.015288,17.79699999999866,17.813982,0.0
17,task-5-17,vm4,0.015851,26.343999999997322,26.36441,0.0
19,task-10-19,vm4,0.015851,24.702999999994063,24.712416,0.0
6,task-4-6,vm2,1.076217,6.0939999999973224,7.179639,1.0619999999980791
11,task-1-11,vm2,3.219598,4.219000000004598,7.439988,3.202999999994063
18,task-6-18,vm1,4.246949,16.57800000000134,20.835712,4.23399999999674
15,task-8-15,vm2,7.182692,16.218000000000757,23.402742,7.171999999998661
16,task-2-16,vm2,7.441545,17.07800000000134,24.521444,7.421999999998661
