index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm4,0.0,2.7339999999967404,2.735003,0.0
1,task-5-1,vm1,0.00729,11.64100000000326,11.645867,0.0
2,task-8-2,vm4,0.00729,7.0310000000026776,7.034804,0.0
4,task-10-4,vm4,0.00729,21.468999999997322,21.473062,0.0
5,task-3-5,vm3,0.011848,1.860000000000582,1.861485,0.0
7,task-4-7,vm2,0.011848,3.5469999999986612,3.551648,0.0
8,task-7-8,vm4,0.011848,9.578000000001339,9.594082,0.0
9,task-3-9,vm4,0.011848,15.156000000002678,15.16669,0.0
10,task-9-10,vm2,0.011848,20.843999999997322,20.857883,0.0
11,task-1-11,vm4,0.011848,9.610000000000582,9.61824,0.0
12,task-7-12,vm4,0.013831,24.43800000000192,24.450981,0.0
13,task-9-13,vm4,0.013831,14.610000000000582,14.613299,0.0
15,task-8-15,vm3,0.014394,7.9060000000026776,7.90827,0.0
18,task-6-18,vm3,0.014394,11.75,11.755637,0.0
19,task-10-19,vm3,0.014394,22.218999999997322,22.230095,0.0
14,task-1-14,vm4,2.735662,21.781000000002678,24.512124,2.7189999999973224
16,task-2-16,vm4,7.034804,17.812999999994645,24.851842,7.0310000000026776
17,task-5-17,vm4,9.594082,16.79699999999866,26.388122,9.578000000001339
3,task-2-3,vm1,11.647882,1.9369999999980791,13.583954,11.64100000000326
6,task-4-6,vm1,13.583954,7.3439999999973224,20.937232,13.578000000001339
