index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm1,0.0,15.421999999998661,15.423094,0.0
1,task-5-1,vm3,0.008468,2.811999999998079,2.826948,0.0
2,task-8-2,vm2,0.008468,14.7029999999977,14.712157,0.0
3,task-2-3,vm2,0.008468,0.9840000000003783,1.003836,0.0
4,task-10-4,vm4,0.008468,6.842999999997119,6.857848,0.0
8,task-7-8,vm4,0.008468,9.875,9.892311,0.0
10,task-9-10,vm4,0.008468,14.764999999999418,14.78281,0.0
11,task-1-11,vm3,0.008468,2.936999999998079,2.951722,0.0
12,task-7-12,vm3,0.008468,8.15599999999904,8.162763,0.0
13,task-9-13,vm4,0.008468,19.67199999999866,19.685914,0.0
14,task-1-14,vm3,0.008468,8.25,8.260271,0.0
15,task-8-15,vm4,0.008468,23.60900000000038,23.630681,0.0
18,task-6-18,vm4,0.008468,25.85900000000038,25.871896,0.0
5,task-3-5,vm2,1.003836,15.65599999999904,16.651595,0.9840000000003783
16,task-2-16,vm3,2.829507,5.938000000001921,8.768368,2.811999999998079
17,task-5-17,vm3,2.952931,8.40599999999904,11.362958,2.936999999998079
19,task-10-19,vm3,8.170645,13.796999999998661,21.973343,8.15599999999904
7,task-4-7,vm2,14.712157,5.562000000001717,20.274189,14.7029999999977
6,task-4-6,vm1,15.426228,6.96900000000096,22.386226,15.40599999999904
9,task-3-9,vm2,16.651595,5.406999999999243,22.054094,16.639999999999418
